,ERR188044,ERR188104,ERR188234,ERR188245,ERR188257,ERR188273,ERR188337,ERR188383,ERR188401,ERR188428,ERR188454,ERR204916
NM_019848,0,0,0,0,3,0,0,2,0,0,1,1
NM_019857,0,0,1,0,1,1,1,1,2,1,2,1
NM_019886,198,140,194,174,264,90,362,293,252,116,243,329
NM_020137,2568,1677,2250,1263,1609,826,2043,1355,2194,1201,1797,1455
NM_020665,6,3,8,2,5,10,5,8,6,0,3,11
NM_020730,0,0,1,0,0,0,2,1,1,0,1,0
NM_020769,33,4,7,2,3,4,2,3,2,3,2,7
NM_020932,82,77,93,31,38,55,105,14,46,39,54,70
NM_021029,10,7,12,10,14,3,14,15,20,7,10,7
NM_021083,0,2,1,0,2,1,1,1,1,2,7,1
NM_021109,227420,222865,306165,121444,186522,111346,181585,155068,240904,139667,163851,142063
NM_021242,214,148,215,77,127,55,196,103,184,105,73,98
NM_021804,0,0,2,0,0,2,0,0,1,1,0,0
NM_021963,214,122,123,32,129,63,45,76,97,55,71,117
NM_021992,0,0,2,0,2,0,0,2,5,5,3,1
NM_021998,202,115,191,81,138,66,79,88,175,77,155,112
NM_022117,800,828,859,622,674,231,947,581,951,445,811,715
NM_022567,0,1,10,1,3,1,0,1,2,1,1,2
NM_022977,20,20,12,6,9,5,28,6,25,10,20,8
NM_023934,1778,1727,2439,1517,1548,1070,1935,1803,2520,1244,1250,1429
NM_024122,0,1,0,0,2,0,0,1,1,0,1,0
NM_024332,1,0,1,0,0,0,2,1,1,0,1,1
NM_024528,488,662,480,554,636,208,653,667,726,363,653,622
NM_024917,10,5,10,1,1,4,10,3,8,3,3,3
NM_024921,9,20,22,4,34,7,0,12,13,1,73,21
NM_025159,1367,1465,2565,547,1223,630,2069,1342,1021,1582,1250,1132
NM_025184,1,21,3,0,4,2,14,4,5,9,1,2
NM_030624,844,885,583,273,480,277,659,586,672,486,562,669
NM_030763,613,756,745,341,904,397,1182,887,625,864,819,685
NM_031206,3,7,4,1,2,1,3,2,3,0,3,3
NM_031407,21860,21015,19646,10753,13801,8981,23383,11227,26104,15246,13296,17701
NM_031892,144,132,123,115,378,67,637,341,187,81,275,485
NM_032121,4054,3588,3652,2341,3022,1351,2905,3357,3213,2007,4941,2867
NM_032227,84,24,39,17,18,20,30,18,40,25,14,37
NM_032428,1,0,2,0,11,1,1,1,1,1,0,1
NM_032458,18,18,11,3,6,14,11,7,18,7,10,12
NM_032553,346,312,336,86,181,77,400,153,228,258,385,213
NM_032882,1,0,4,0,4,0,0,3,2,0,3,3
NM_033018,14,14,21,12,17,8,24,11,29,13,15,14
NM_033031,11,14,3,3,3,3,6,4,9,2,14,7
NM_033215,4,5,6,26,38,1,71,26,31,1,34,31
NM_033518,1523,1208,2333,1631,1538,856,1995,1432,2007,834,1561,1336
NM_052936,10,4,9,0,7,2,6,2,12,3,10,5
NM_052957,75,55,78,44,59,25,75,45,71,29,60,32
NM_058163,1592,1109,1807,888,1190,566,1220,1000,1390,919,1055,973
NM_078628,365,705,802,584,427,179,1008,452,862,737,812,625
NM_080390,7,14,39,9,2,1,8,9,52,6,0,16
NM_080632,1,2,0,0,1,0,1,0,1,0,0,0
NM_080701,10,3,8,12,9,1,20,7,7,4,8,5
NM_080817,97,23,56,16,62,24,62,41,79,19,15,7
NM_080879,17,21,13,11,8,5,18,8,26,8,8,18
NM_130388,0,2,0,1,3,2,2,2,1,4,1,1
NM_133265,35,27,15,0,3,9,16,21,2,1,21,30
NM_138737,3,1,0,0,0,0,0,0,0,0,0,2
NM_138819,0,2,1,0,2,1,1,0,1,0,0,0
NM_139058,1,0,3,1,2,0,1,1,1,0,1,2
NM_139282,1,5,1,3,1,1,3,0,1,1,0,1
NM_144658,1972,2200,1359,815,1364,887,2202,1478,1514,1327,1553,1587
NM_144970,1460,1495,1953,921,961,746,1489,1200,1779,1302,1259,1813
NM_145177,529,397,405,438,335,191,440,387,547,291,349,304
NM_145305,488,622,438,390,520,208,836,532,643,459,642,532
NM_145799,2990,3559,6306,2584,2150,1891,4188,2036,2477,2858,2375,2809
NM_152278,4,1,0,0,1,0,0,0,0,0,0,0
NM_152424,839,733,770,399,485,264,842,439,1002,605,488,587
NM_152581,19,12,12,6,6,5,9,8,12,7,4,8
NM_152692,1,4,1,0,0,0,3,1,2,1,2,0
NM_152694,4,6,3,1,0,3,4,3,9,6,2,0
NM_152695,97,115,65,50,60,29,118,70,103,47,89,59
NM_152787,1294,1441,887,534,857,454,1346,889,1455,807,1117,1017
NM_153252,1366,1673,1112,582,750,589,1378,892,1533,893,1048,1095
NM_153270,0,12,0,0,2,0,6,5,22,2,27,3
NM_153280,6,8,2,0,3,4,4,4,4,1,4,4
NM_171998,402,376,436,347,329,146,418,341,395,257,630,414
NM_173470,907,1035,849,812,882,410,994,952,1142,679,888,766
NM_173694,6,5,3,0,1,2,5,0,6,2,1,3
NM_173794,364,466,482,278,320,152,445,394,511,309,339,465
NM_173834,3,1,0,0,0,3,2,0,1,1,2,2
NM_174869,8,9,11,8,7,1,15,6,7,1,5,7
NM_174901,2,2,6,2,2,3,2,2,5,2,3,1
NM_174912,79,158,87,36,21,47,51,55,79,40,113,146
NM_175859,2,3,1,13,23,1,23,14,17,6,12,14
NM_176786,5,2,1,0,0,2,0,0,1,0,1,2
NM_177439,1,0,0,0,1,0,2,0,1,0,0,1
NM_177948,4,5,5,1,2,2,5,1,10,1,5,3
NM_178129,5781,4009,5467,2779,3599,1945,3684,3403,3288,2134,3963,3614
NM_178175,86,66,34,11,47,11,68,52,89,23,39,35
NM_182540,1276,984,1013,545,776,456,1003,767,860,509,1149,749
NM_198057,4,4,2,3,9,0,9,11,11,10,16,7
NM_198279,258,389,222,134,221,92,404,189,283,164,243,200
NM_198450,878,1162,701,528,567,363,973,538,850,585,604,834
NM_198456,25,39,45,19,20,15,37,13,40,21,25,21
NM_198512,8,5,11,2,5,0,12,5,1,19,8,8
NM_198881,5,1,3,0,3,1,2,5,1,1,7,2
NM_201222,4,6,4,0,3,1,2,6,5,1,1,2
NM_201286,88,96,86,43,94,24,152,83,157,91,48,64
NM_201599,4,1,0,0,2,0,1,1,0,0,1,0
NM_206923,69,53,43,34,50,23,86,40,88,22,69,38
NM_207318,1341,1803,1220,687,1046,571,1224,1180,1488,817,1384,1183
NM_207422,109,233,258,103,109,98,124,310,229,185,263,308
NM_212559,16,19,42,2,2,3,6,6,3,2,7,2
